Segment 0,Segment 1,Segment 2,Segment 3,Segment 4,Segment 5,Segment 6,Segment 7,Segment 8,Segment 9,Segment 10,Segment 11,Segment 12,Segment 13,Segment 14,Segment 15,Segment 16,Segment 17,Segment 18,Segment 19,Segment 20,Segment 21,Segment 22,Segment 23,Segment 24,Segment 25,Segment 26,Segment 27,Segment 28,Segment 29,Segment 30,Segment 31,Segment 32,Segment 33,Segment 34,Segment 35,Segment 36,Segment 37,Segment 38,Segment 39,Segment 40,Segment 41,Segment 42,Segment 43,Segment 44,Segment 45,Segment 46,Segment 47,Segment 48,Segment 49,Segment 50,Segment 51,Segment 52,Segment 53,Segment 54,Segment 55,Segment 56,Segment 57,Segment 58
1220,610,2441,2280,3404,996,1766,2056,2762,1670,2971,1060,1237,1044,1606,2746,1445,819,2248,1783,1477,1124,2023,1333,1172,1076,2023,1493,1413,819,899,3485,1510,1333,1365,1783,1718,2264,1397,2136,3967,2056,0,1606,578,2345,1076,1879,1542,1092,1220,1060,2168,1718,1461,1237,1799,2987,1638
1349,594,2409,2248,3340,1044,1734,2088,2762,1750,2987,1044,1237,1044,1590,2762,1429,819,2216,1750,1477,1124,1991,1413,1156,1060,2120,1461,1397,819,899,3437,1493,1317,1349,1750,1734,2232,1381,2120,3934,2120,0,1590,723,2409,1044,1863,1542,1076,1220,1044,2136,1702,1461,1204,1783,2891,1622
1477,594,2361,2216,3292,1108,1718,2104,2730,1847,3003,1028,1220,1028,1574,2762,1413,803,2200,1734,1461,1108,1959,1493,1140,1060,2232,1445,1381,819,899,3388,1461,1301,1333,1734,1734,2200,1381,2120,3870,2184,0,1574,883,2457,1028,1863,1542,1076,1204,1044,2120,1686,1477,1188,1750,2810,1590
1638,578,2329,2200,3228,1188,1686,2136,2698,1943,3003,1012,1220,1028,1558,2746,1397,803,2168,1718,1445,1108,1943,1574,1124,1060,2329,1397,1365,819,899,3324,1445,1285,1317,1718,1734,2168,1381,2104,3790,2232,0,1542,1028,2505,1028,1863,1542,1060,1204,1044,2088,1670,1493,1172,1734,2746,1574
1783,578,2280,2184,3180,1301,1670,2168,2666,2039,2987,996,1220,1028,1542,2730,1381,803,2136,1702,1429,1108,1911,1670,1108,1044,2425,1365,1349,835,883,3276,1413,1269,1301,1702,1734,2136,1365,2088,3694,2296,0,1526,1172,2537,1028,1863,1542,1060,1204,1044,2072,1670,1510,1156,1702,2666,1558
1927,562,2248,2152,3115,1413,1638,2168,2618,2136,2955,980,1220,1028,1526,2698,1365,787,2104,1670,1413,1108,1879,1766,1092,1044,2521,1317,1349,835,883,3228,1397,1253,1285,1686,1750,2088,1365,2088,3549,2345,418,1510,1301,2569,1028,1847,1542,1044,1188,1044,2039,1654,1542,1124,1686,2602,1526
2088,562,2216,2136,3067,1526,1622,2168,2585,2200,2923,947,1220,1028,1510,2666,1349,787,2072,1654,1413,1108,1863,1863,1076,1044,2602,1285,1333,835,883,3180,1365,1237,1269,1654,1750,2056,1349,2072,3388,2393,1044,1477,1413,2585,1028,1847,1542,1044,1188,1044,2023,1654,1558,1108,1670,2537,1510
2216,546,2168,2120,3003,1622,1590,2152,2537,2264,2891,931,1204,1028,1510,2618,1349,771,2056,1638,1397,1092,1831,1943,1060,1028,2666,1237,1333,835,883,3131,1349,1237,1269,1638,1766,2039,1349,2056,3196,2441,1365,1461,1510,2602,1044,1847,1542,1044,1172,1044,2007,1654,1590,1092,1654,2473,1493
2361,546,2152,2104,2955,1734,1574,2136,2489,2345,2842,915,1204,1028,1510,2585,1333,771,2023,1622,1397,1092,1815,2023,1044,1028,2730,1204,1317,835,883,3083,1317,1220,1253,1622,1766,2007,1349,2056,3003,2473,1526,1445,1606,2602,1044,1847,1542,1028,1172,1044,1991,1654,1622,1092,1622,2425,1477
2473,546,2120,2088,2907,1863,1558,2104,2457,2409,2810,899,1204,1044,1510,2537,1333,771,1991,1606,1381,1092,1783,2104,1028,1028,2794,1172,1317,835,899,3019,1301,1204,1253,1622,1783,1975,1349,2039,2794,2505,1622,1413,1686,2602,1060,1847,1542,1028,1156,1044,1975,1638,1654,1076,1606,2361,1461
2602,546,2072,2072,2842,1991,1526,2072,2409,2473,2762,883,1204,1060,1526,2505,1317,755,1975,1590,1381,1076,1766,2184,1012,1012,2826,1124,1301,835,899,2971,1285,1204,1237,1606,1783,1959,1349,2023,2618,2537,1686,1397,1750,2585,1076,1847,1542,1012,1156,1044,1959,1638,1670,1060,1590,2312,1445
2714,546,2039,2056,2794,2104,1510,2056,2377,2537,2730,883,1204,1092,1542,2457,1333,755,1943,1590,1365,1076,1750,2264,996,1012,2842,1092,1285,835,899,2923,1253,1188,1220,1590,1783,1927,1365,2007,2457,2569,1766,1381,1783,2569,1092,1847,1558,1012,1140,1044,1943,1638,1702,1044,1574,2264,1445
2794,530,2007,2039,2746,2216,1493,2023,2345,2585,2682,867,1204,1140,1574,2425,1349,755,1927,1574,1365,1076,1718,2329,980,1012,2858,1044,1285,835,899,2875,1237,1188,1204,1574,1799,1911,1381,2007,2329,2602,1847,1365,1831,2553,1108,1847,1558,996,1140,1108,1927,1638,1718,1044,1542,2216,1429
2858,530,1975,2023,2698,2329,1461,1991,2296,2634,2650,867,1204,1188,1606,2393,1349,739,1911,1558,1349,1076,1702,2409,964,1012,2858,1012,1301,835,899,2826,1220,1172,1204,1558,1799,1895,1397,1991,2216,2618,1943,1333,1863,2521,1124,1847,1558,996,1140,1204,1911,1638,1718,1028,1526,2168,1429
2939,530,1943,2007,2650,2441,1445,1975,2264,2666,2618,851,1204,1269,1638,2345,1349,739,1895,1542,1333,1076,1670,2457,947,1012,2842,980,1301,851,899,2778,1204,1172,1188,1542,1799,1879,1397,1991,2120,2650,2056,1333,1895,2489,1140,1847,1558,996,1124,1237,1911,1638,1718,1028,1510,2120,1413
3003,514,1911,1991,2585,2537,1429,1943,2232,2698,2585,851,1204,1333,1670,2312,1333,739,1879,1526,1333,1076,1638,2521,931,1012,2826,947,1333,851,899,2730,1188,1156,1172,1526,1799,1863,1413,1975,2039,2666,2168,1317,1943,2457,1156,1847,1558,980,1124,1253,1895,1638,1718,1012,1493,2088,1413
3067,514,1879,1975,2537,2618,1413,1911,2200,2698,2553,835,1204,1413,1718,2280,1333,739,1847,1510,1317,1076,1622,2569,931,1012,2794,931,1365,851,899,2682,1172,1156,1156,1526,1815,1847,1429,1959,1991,2682,2296,1301,1975,2425,1156,1847,1574,980,1124,1253,1879,1638,1702,996,1477,2039,1397
3115,514,1863,1959,2505,2698,1397,1895,2152,2698,2521,835,1204,1493,1750,2232,1317,755,1831,1510,1317,1076,1590,2602,915,1012,2762,899,1413,851,899,2650,1156,1140,1140,1510,1815,1831,1429,1959,1959,2714,2409,1285,2007,2393,1172,1847,1574,980,1124,1253,1863,1638,1686,996,1461,2007,1381
3164,498,1831,1943,2457,2762,1381,1879,2120,2698,2489,835,1204,1590,1799,2200,1301,755,1799,1493,1301,1076,1574,2618,915,1012,2714,883,1461,851,899,2602,1140,1140,1124,1493,1815,1815,1429,1943,1943,2730,2521,1269,2039,2361,1188,1831,1574,964,1124,1253,1847,1638,1670,996,1445,1959,1381
3180,498,1799,1927,2409,2810,1365,1847,2088,2666,2457,867,1188,1686,1831,2168,1301,755,1783,1477,1301,1076,1542,2634,899,1028,2682,867,1510,867,899,2553,1124,1124,1124,1493,1815,1799,1413,1927,1943,2746,2618,1269,2072,2345,1188,1831,1590,964,1108,1253,1831,1654,1654,996,1429,1927,1365
3196,498,1783,1911,2361,2858,1349,1831,2056,2650,2409,899,1188,1766,1863,2136,1285,771,1766,1461,1301,1076,1526,2618,899,1028,2634,851,1590,883,899,2505,1108,1124,1108,1477,1815,1783,1413,1911,1975,2746,2730,1253,2104,2312,1188,1831,1606,964,1108,1253,1815,1654,1622,996,1413,1879,1365
3212,498,1750,1895,2329,2907,1333,1815,2023,2602,2377,947,1188,1863,1879,2104,1285,771,1734,1461,1285,1076,1510,2602,899,1028,2585,851,1654,915,915,2457,1092,1108,1108,1477,1815,1766,1413,1911,2007,2762,2826,1237,2120,2280,1204,1815,1622,964,1108,1253,1799,1654,1606,996,1413,1847,1349
3196,498,1734,1863,2296,2923,1317,1783,1991,2569,2345,1028,1188,1959,1895,2072,1285,771,1718,1445,1285,1076,1493,2585,883,1028,2537,835,1734,980,915,2409,1076,1108,1092,1461,1815,1750,1429,1895,2072,2762,2923,1220,2152,2264,1204,1815,1622,947,1108,1253,1799,1670,1574,1012,1397,1831,1333
3180,514,1702,1847,2248,2955,1301,1766,1959,2537,2312,1124,1188,2039,1895,2039,1269,787,1702,1445,1285,1076,1477,2553,883,1028,2489,835,1815,1060,915,2361,1060,1108,1092,1445,1815,1734,1445,1895,2120,2778,3019,1204,2168,2232,1204,1815,1638,947,1092,1253,1766,1670,1558,1028,1381,1815,1333
3148,514,1670,1815,2216,2955,1285,1750,1943,2489,2280,1237,1188,2120,1895,2007,1253,787,1686,1445,1269,1060,1461,2505,883,1028,2441,835,1879,1156,915,2329,1044,1092,1076,1445,1831,1734,1477,1879,2184,2778,3099,1188,2168,2200,1188,1799,1654,947,1092,1253,1750,1670,1542,1060,1365,1799,1317
3115,514,1654,1799,2168,2939,1269,1718,1911,2457,2248,1365,1188,2200,1895,1975,1253,803,1670,1429,1269,1060,1445,2457,867,1028,2409,819,1959,1285,915,2280,1028,1092,1076,1429,1831,1718,1510,1895,2264,2778,3180,1172,2168,2184,1188,1799,1670,947,1092,1269,1734,1670,1526,1076,1349,1783,1317
3083,514,1622,1783,2136,2923,1253,1702,1879,2409,2216,1477,1188,2280,1879,1943,1237,819,1654,1429,1253,1060,1429,2409,867,1044,2361,819,2023,1413,915,2232,1028,1092,1092,1413,1831,1702,1574,1895,2345,2794,3244,1172,2184,2152,1188,1799,1670,931,1092,1269,1718,1670,1510,1108,1333,1766,1301
3051,514,1606,1766,2088,2891,1237,1686,1847,2377,2200,1590,1188,2361,1863,1911,1237,819,1638,1429,1253,1060,1397,2345,851,1044,2312,819,2088,1542,915,2200,1012,1076,1124,1397,1847,1686,1638,1895,2441,2794,3308,1156,2184,2120,1172,1799,1686,931,1092,1285,1686,1670,1493,1140,1317,1766,1301
3019,498,1590,1750,2056,2842,1220,1670,1831,2345,2168,1718,1188,2409,1847,1879,1220,835,1622,1413,1237,1060,1381,2296,851,1044,2280,819,2152,1670,931,2168,1012,1076,1140,1381,1863,1670,1702,1895,2537,2794,3356,1156,2184,2104,1156,1799,1702,931,1092,1285,1670,1686,1477,1172,1301,1750,1285
2987,498,1558,1734,2023,2794,1204,1654,1799,2312,2136,1847,1188,2457,1831,1863,1220,851,1606,1413,1237,1060,1365,2248,851,1044,2232,819,2216,1831,931,2120,996,1060,1140,1381,1895,1654,1783,1911,2634,2794,3388,1140,2168,2088,1140,1799,1702,915,1092,1285,1654,1686,1461,1204,1285,1750,1269
2955,498,1542,1718,1975,2746,1204,1638,1766,2280,2120,1991,1188,2505,1799,1831,1204,867,1590,1413,1237,1060,1349,2200,851,1044,2184,819,2248,1975,931,2104,996,1060,1140,1365,1927,1638,1863,1911,2714,2778,3421,1124,2168,2056,1124,1783,1718,915,1092,1301,1638,1686,1445,1237,1285,1734,1253
2939,498,1526,1702,1943,2698,1188,1638,1750,2248,2088,2120,1188,2537,1766,1799,1188,899,1558,1413,1237,1060,1333,2152,867,1044,2136,819,2296,2136,931,2056,996,1060,1156,1365,1975,1622,1959,1911,2810,2762,3437,1124,2168,2039,1108,1783,1718,915,1092,1301,1622,1686,1445,1269,1285,1718,1253
2907,498,1510,1686,1911,2650,1172,1622,1718,2216,2056,2248,1188,2569,1750,1783,1188,947,1542,1413,1220,1060,1333,2120,899,1044,2104,819,2329,2280,947,2023,996,1060,1156,1349,2023,1590,2039,1911,2891,2746,3453,1124,2168,2023,1108,1783,1718,915,1092,1301,1606,1686,1429,1285,1269,1702,1237
2891,498,1493,1670,1879,2602,1156,1606,1670,2184,2023,2361,1188,2602,1718,1750,1188,996,1526,1413,1220,1060,1317,2072,931,1044,2056,835,2361,2441,947,1991,1012,1060,1172,1333,2088,1574,2104,1911,2955,2730,3469,1124,2152,2007,1092,1783,1734,899,1092,1317,1590,1686,1413,1301,1269,1702,1220
2875,514,1477,1670,1847,2553,1156,1590,1638,2152,2007,2489,1188,2618,1702,1734,1188,1076,1510,1429,1220,1060,1301,2039,996,1044,2023,835,2377,2585,947,1959,1060,1044,1188,1333,2152,1558,2168,1911,3035,2714,3469,1172,2152,1991,1092,1766,1734,899,1092,1333,1574,1686,1397,1301,1253,1686,1220
2842,514,1461,1654,1831,2505,1140,1574,1622,2120,1975,2602,1172,2618,1686,1702,1172,1172,1493,1445,1220,1060,1285,2007,1060,1044,1991,835,2393,2730,964,1943,1108,1044,1220,1317,2216,1542,2248,1911,3083,2698,3453,1237,2136,1975,1092,1766,1734,899,1092,1365,1574,1686,1397,1301,1237,1670,1204
2826,530,1445,1638,1799,2457,1124,1558,1590,2104,1943,2698,1188,2618,1654,1686,1172,1285,1477,1461,1220,1060,1285,1959,1156,1044,1959,835,2409,2858,980,1911,1172,1044,1269,1317,2280,1510,2329,1895,3115,2666,3437,1301,2120,1959,1092,1766,1734,883,1092,1413,1558,1686,1381,1301,1237,1654,1188
2810,530,1429,1622,1766,2409,1124,1526,1574,2072,1911,2810,1188,2602,1638,1670,1156,1413,1461,1493,1204,1060,1269,1927,1269,1044,1911,851,2393,2987,996,1879,1253,1044,1333,1301,2329,1493,2409,1879,3148,2634,3421,1349,2104,1943,1108,1766,1734,883,1092,1461,1542,1670,1381,1285,1220,1638,1188
2778,530,1413,1606,1750,2361,1108,1526,1542,2039,1895,2875,1188,2569,1622,1638,1156,1542,1461,1558,1204,1060,1253,1895,1381,1044,1879,851,2393,3115,1044,1863,1349,1044,1413,1285,2377,1477,2489,1879,3180,2618,3388,1413,2072,1943,1140,1766,1718,883,1092,1542,1526,1670,1365,1285,1220,1606,1188
2746,530,1413,1606,1718,2329,1092,1510,1526,2007,1863,2939,1188,2537,1606,1622,1156,1670,1445,1606,1204,1076,1253,1847,1510,1060,1847,851,2377,3212,1108,1847,1429,1044,1493,1285,2425,1461,2553,1863,3212,2585,3356,1461,2056,1927,1172,1766,1718,867,1092,1638,1526,1670,1365,1269,1204,1590,1172
2730,546,1397,1590,1686,2280,1092,1493,1493,1975,1831,3003,1188,2505,1590,1606,1140,1799,1429,1686,1188,1092,1237,1815,1638,1060,1815,867,2345,3292,1188,1831,1526,1028,1590,1269,2457,1445,2634,1847,3228,2569,3324,1526,2023,1927,1237,1766,1718,867,1092,1766,1510,1670,1365,1253,1188,1558,1172
2698,562,1381,1574,1670,2248,1076,1477,1461,1959,1815,3051,1188,2473,1558,1574,1140,1879,1429,1766,1188,1124,1220,1783,1766,1060,1783,867,2312,3372,1301,1831,1622,1028,1686,1269,2489,1429,2682,1831,3244,2553,3292,1574,1975,1911,1301,1766,1702,867,1092,1895,1493,1686,1365,1237,1188,1510,1156
2666,610,1365,1574,1638,2200,1076,1461,1445,1927,1783,3099,1188,2425,1542,1558,1140,1959,1413,1847,1188,1172,1204,1750,1879,1060,1766,883,2296,3453,1445,1831,1734,1028,1783,1269,2537,1413,2730,1815,3244,2537,3260,1654,1943,1911,1397,1766,1702,867,1092,2023,1429,1686,1365,1220,1172,1461,1140
2634,658,1349,1574,1606,2168,1076,1445,1429,1895,1766,3131,1188,2393,1526,1558,1124,2039,1397,1927,1188,1220,1204,1718,1975,1060,1734,883,2264,3533,1590,1847,1847,1028,1879,1253,2569,1397,2778,1783,3260,2521,3212,1718,1895,1911,1477,1766,1702,867,1092,2152,1333,1702,1349,1188,1172,1413,1140
2602,739,1349,1558,1590,2136,1060,1429,1397,1879,1734,3148,1188,2345,1510,1542,1124,2120,1397,2023,1172,1301,1188,1702,2072,1060,1702,883,2232,3597,1734,1863,1959,1028,1959,1253,2602,1397,2794,1766,3260,2505,3180,1783,1831,1895,1558,1766,1702,867,1092,2296,1285,1718,1349,1172,1172,1365,1124
2569,851,1349,1558,1558,2104,1060,1413,1381,1863,1718,3148,1188,2312,1493,1542,1124,2216,1381,2104,1172,1397,1172,1670,2168,1060,1670,899,2200,3645,1863,1879,2056,1028,2039,1253,2634,1381,2810,1750,3276,2489,3148,1847,1750,1895,1638,1766,1702,867,1092,2409,1253,1750,1349,1140,1156,1317,1124
2537,980,1333,1558,1542,2072,1044,1397,1349,1831,1686,3131,1188,2264,1461,1558,1124,2296,1365,2200,1172,1510,1156,1654,2264,1076,1654,915,2184,3677,2007,1895,2152,1012,2120,1237,2650,1381,2794,1734,3276,2489,3099,1911,1670,1895,1734,1750,1702,867,1092,2537,1237,1783,1349,1108,1156,1285,1124
2505,1108,1333,1558,1526,2023,1044,1397,1333,1815,1654,3099,1188,2232,1445,1558,1124,2377,1365,2280,1172,1622,1156,1622,2361,1092,1622,915,2152,3694,2152,1927,2248,1012,2200,1237,2682,1365,2778,1734,3308,2473,3051,1959,1574,1895,1847,1750,1702,867,1076,2650,1220,1831,1333,1092,1140,1253,1108
2457,1237,1317,1574,1510,1991,1044,1381,1333,1783,1638,3067,1188,2200,1429,1574,1124,2457,1349,2345,1188,1734,1156,1606,2441,1140,1638,947,2120,3694,2312,1943,2345,1012,2280,1220,2698,1365,2746,1750,3324,2473,3003,2023,1461,1895,1943,1750,1718,867,1076,2746,1204,1895,1333,1060,1124,1220,1108
2425,1397,1317,1590,1493,1959,1028,1365,1301,1750,1606,3035,1188,2152,1413,1606,1124,2521,1349,2409,1204,1847,1156,1574,2521,1188,1670,964,2088,3677,2457,1975,2425,1028,2345,1220,2714,1365,2698,1766,3340,2457,2955,2072,1349,1895,2039,1750,1718,867,1076,2842,1204,1959,1333,1044,1124,1204,1108
2393,1558,1301,1638,1477,1927,1028,1349,1285,1734,1590,2987,1188,2120,1397,1638,1108,2602,1333,2457,1237,1975,1140,1558,2602,1253,1670,996,2072,3645,2585,1991,2505,1028,2425,1204,2730,1365,2650,1815,3372,2425,2907,2120,1253,1895,2136,1750,1734,867,1076,2923,1188,2039,1317,1028,1108,1188,1092
2345,1718,1285,1686,1461,1895,1028,1349,1269,1718,1558,2939,1188,2088,1397,1670,1108,2650,1333,2521,1285,2088,1140,1526,2650,1333,1654,1028,2039,3613,2730,2007,2553,1028,2489,1204,2746,1365,2602,1847,3404,2393,2858,2168,1140,1911,2232,1750,1750,867,1060,3019,1172,2120,1317,996,1108,1172,1092
2296,1879,1285,1750,1429,1879,1012,1333,1253,1686,1542,2891,1204,2056,1381,1718,1108,2714,1333,2585,1349,2184,1140,1510,2698,1429,1638,1076,2007,3565,2858,2007,2602,1028,2537,1204,2746,1365,2553,1895,3453,2361,2810,2200,1012,1911,2329,1750,1783,867,1060,3115,1156,2200,1301,980,1092,1172,1092
2248,2039,1285,1815,1413,1847,1012,1333,1237,1654,1510,2858,1204,2023,1365,1750,1108,2746,1317,2634,1461,2296,1140,1477,2746,1558,1622,1140,1991,3517,2987,2007,2634,1028,2585,1188,2730,1349,2505,1943,3501,2312,2762,2232,867,1927,2425,1750,1831,867,1076,3212,1140,2280,1301,947,1092,1172,1076
2248,2200,1269,1895,1397,1815,1012,1317,1220,1638,1493,2810,1204,1991,1365,1783,1092,2778,1317,2682,1574,2377,1140,1461,2762,1686,1590,1204,1959,3469,3099,2007,2666,1028,2634,1188,2730,1349,2457,2007,3549,2280,2698,2264,739,1943,2505,1750,1895,867,1076,3292,1124,2361,1285,915,1076,1172,1076
2264,2345,1269,1959,1381,1783,1012,1301,1204,1606,1477,2762,1204,1959,1349,1815,1092,2810,1317,2714,1702,2457,1156,1445,2762,1831,1574,1285,1927,3421,3212,1991,2698,1028,2666,1188,2714,1349,2425,2072,3597,2232,2666,2296,626,1959,2602,1750,1975,883,1076,3356,1108,2441,1285,899,1076,1172,1076
2248,2489,1253,2039,1365,1766,1012,1285,1188,1590,1461,2714,1204,1927,1333,1847,1092,2826,1301,2746,1863,2553,1188,1413,2762,1975,1542,1349,1911,3356,3324,1975,2698,1028,2682,1156,2698,1349,2393,2136,3629,2184,2618,2312,498,1975,2666,1734,2072,883,1076,3404,1108,2489,1269,883,1076,1172,1060
2232,2618,1253,2136,1349,1734,996,1269,1172,1574,1445,2682,1204,1895,1333,1879,1092,2842,1301,2762,2007,2634,1237,1397,2746,2136,1526,1413,1879,3308,3404,1943,2698,1012,2698,1092,2682,1333,2361,2184,3661,2136,2585,2312,385,1975,2714,1734,2184,883,1076,3453,1092,2553,1253,851,1076,1172,1060
2216,2746,1253,2216,1333,1718,996,1269,1156,1558,1429,2634,1204,1879,1317,1895,1092,2842,1301,2762,2152,2730,1285,1381,2714,2280,1510,1477,1863,3260,3469,1911,2682,1012,2682,1060,2650,1349,2329,2248,3677,2104,2521,2312,289,1991,2778,1734,2280,883,1060,3485,1092,2618,1253,835,1076,1156,1044
2184,2842,1253,2312,1317,1686,996,1253,1140,1542,1413,2602,1204,1847,1301,1895,1092,2842,1285,2746,2264,2810,1365,1365,2682,2425,1477,1542,1831,3212,3533,1895,2650,1012,2682,1044,2634,1349,2296,2296,3677,2072,2489,2312,209,1991,2842,1734,2393,883,1060,3501,1092,2682,1237,819,1060,1156,1044
2168,2923,1269,2393,1317,1654,980,1237,1140,1510,1397,2553,1204,1815,1301,1895,1076,2826,1285,2730,2409,2891,1429,1333,2650,2553,1461,1606,1815,3148,3597,1863,2618,1012,2650,1028,2602,1349,2248,2345,3645,2039,2457,2296,128,2007,2875,1734,2521,883,1060,3485,1092,2730,1220,803,1060,1156,1028
2136,3003,1285,2473,1301,1638,980,1220,1124,1493,1365,2505,1204,1783,1285,1895,1076,2810,1285,2714,2553,2971,1510,1317,2602,2698,1445,1686,1799,3099,3645,1831,2585,1012,2634,1012,2585,1349,2216,2393,3597,2023,2425,2264,80,2007,2923,1734,2650,883,1044,3469,1092,2794,1220,787,1060,1156,1028
2120,3099,1317,2537,1301,1606,980,1220,1108,1493,1349,2473,1204,1766,1269,1895,1076,2778,1269,2682,2682,3035,1606,1301,2553,2826,1429,1750,1766,3051,3694,1799,2537,1028,2585,1012,2569,1365,2168,2441,3549,1991,2393,2232,48,2023,2939,1734,2794,883,1044,3437,1108,2842,1220,787,1044,1140,1028
2088,3164,1381,2618,1285,1574,980,1204,1108,1510,1333,2425,1204,1734,1269,1879,1076,2746,1269,2634,2810,3099,1702,1269,2489,2939,1413,1799,1750,2987,3726,1783,2489,1044,2553,996,2553,1365,2136,2473,3453,1975,2361,2200,32,2023,2939,1718,2939,883,1028,3388,1108,2875,1204,787,1044,1156,1028
2072,3228,1445,2666,1269,1558,964,1204,1092,1510,1317,2393,1204,1718,1253,1863,1076,2714,1269,2585,2955,3131,1815,1253,2441,3035,1397,1863,1734,2939,3742,1750,2441,1076,2505,996,2553,1381,2088,2489,3356,1975,2345,2168,418,2039,2923,1718,3083,883,1028,3324,1124,2907,1204,771,1028,1156,1028
2039,3276,1526,2730,1253,1526,964,1204,1076,1510,1301,2345,1220,1686,1253,1831,1076,2682,1269,2537,3083,3180,1911,1237,2409,3131,1365,1927,1702,2891,3742,1734,2393,1124,2457,980,2537,1397,2039,2521,3228,1959,2312,2136,1028,2039,2891,1718,3212,883,1028,3260,1124,2939,1204,771,1028,1172,1028
2007,3324,1638,2778,1237,1493,964,1188,1060,1493,1285,2312,1269,1670,1237,1799,1076,2650,1269,2489,3212,3196,2023,1220,2361,3244,1349,1975,1686,2826,3726,1702,2345,1172,2425,980,2537,1413,1991,2553,3083,1959,2296,2104,1333,2056,2858,1702,3356,883,1028,3196,1140,2955,1204,771,1028,1204,1012
1991,3340,1750,2794,1220,1477,964,1188,1060,1477,1285,2280,1317,1654,1237,1783,1060,2618,1269,2441,3324,3196,2120,1204,2312,3340,1333,2023,1670,2778,3710,1686,2312,1253,2377,980,2537,1445,1943,2569,2923,1975,2264,2088,1493,2056,2794,1702,3485,883,1028,3115,1140,2971,1204,771,1028,1237,1012
1959,3340,1863,2826,1220,1445,964,1172,1044,1461,1269,2232,1365,1622,1220,1750,1060,2585,1269,2393,3437,3180,2216,1188,2280,3437,1317,2072,1654,2730,3677,1670,2264,1333,2329,980,2521,1493,1895,2585,2762,1975,2248,2056,1590,2056,2746,1686,3613,883,1044,3035,1156,2971,1188,755,1044,1301,1012
1927,3324,1975,2858,1204,1429,964,1172,1028,1461,1253,2200,1445,1606,1220,1718,1060,2553,1269,2345,3549,3180,2312,1172,2232,3533,1301,2104,1638,2666,3645,1654,2216,1429,2296,980,2521,1558,1847,2602,2618,2007,2232,2023,1654,2072,2682,1670,3742,883,1076,2971,1156,2955,1188,755,1060,1381,1012
1895,3308,2072,2858,1188,1413,964,1156,1028,1445,1237,2168,1574,1590,1204,1702,1060,2521,1269,2296,3629,3164,2393,1156,2200,3597,1285,2136,1622,2618,3597,1622,2184,1542,2264,980,2505,1638,1799,2602,2457,2023,2216,2007,1702,2072,2618,1670,3838,883,1140,2891,1156,2939,1188,755,1092,1477,996
1863,3276,2168,2875,1188,1381,964,1156,1012,1445,1220,2136,1702,1574,1204,1670,1060,2489,1285,2248,3710,3131,2473,1140,2152,3661,1269,2152,1606,2569,3549,1606,2136,1638,2232,964,2505,1718,1766,2602,2312,2039,2200,1975,1750,2072,2553,1654,3918,867,1204,2826,1172,2923,1188,755,1140,1590,996
1847,3228,2280,2858,1188,1365,980,1172,1012,1429,1204,2104,1799,1542,1188,1638,1060,2457,1317,2216,3774,3099,2553,1124,2104,3710,1253,2168,1590,2521,3501,1590,2088,1750,2184,964,2489,1799,1734,2602,2168,2072,2168,1959,1783,2072,2489,1654,3999,867,1317,2762,1172,2810,1172,755,1188,1702,996
1815,3180,2393,2842,1172,1349,980,1188,996,1413,1188,2056,1911,1526,1172,1622,1060,2425,1349,2168,3838,3067,2602,1108,2072,3742,1237,2184,1574,2473,3453,1574,2056,1847,2152,947,2473,1895,1718,2569,2039,2120,2152,1943,1831,2088,2425,1654,4047,867,1445,2714,1188,2666,1172,755,1253,1847,980
1799,3131,2489,2810,1172,1317,996,1204,996,1397,1172,2023,2007,1510,1172,1606,1060,2393,1413,2136,3886,3035,2666,1108,2023,3774,1237,2200,1574,2425,3404,1542,2007,1927,2120,947,2473,1975,1686,2553,1943,2168,2120,1927,1879,2088,2377,1654,4079,867,1590,2650,1220,2569,1172,771,1333,1975,980
1783,3083,2602,2778,1156,1301,1028,1237,996,1381,1172,1991,2136,1493,1156,1590,1060,2361,1477,2104,3934,2987,2714,1092,1975,3758,1220,2200,1558,2377,3372,1526,1975,2023,2088,964,2457,2039,1654,2521,1847,2216,2104,1911,1911,2088,2312,1654,4095,867,1750,2602,1253,2489,1172,771,1429,2120,996
1766,3019,2682,2746,1156,1285,1076,1285,980,1381,1172,1959,2264,1477,1156,1558,1060,2345,1542,2072,3967,2955,2762,1076,1943,3742,1220,2200,1542,2329,3324,1510,1943,2120,2056,980,2441,2120,1638,2489,1766,2264,2088,1895,1959,2088,2264,1654,4095,867,1911,2537,1285,2425,1156,771,1526,2264,996
1766,2971,2778,2698,1140,1269,1124,1333,980,1365,1204,1927,2393,1461,1156,1542,1076,2312,1606,2039,3983,2923,2810,1060,1895,3726,1204,2184,1526,2296,3276,1493,1911,2216,2023,1012,2425,2200,1622,2457,1686,2329,2072,1879,1991,2072,2216,1654,4095,867,2056,2489,1349,2361,1156,771,1622,2393,996
1750,2923,2858,2666,1140,1253,1188,1397,964,1349,1237,1911,2521,1445,1140,1526,1092,2280,1670,2007,3983,2891,2842,1060,1863,3694,1188,2264,1526,2248,3244,1477,1879,2296,1991,1060,2425,2280,1606,2425,1622,2377,2056,1863,2039,2072,2152,1654,4095,867,2184,2425,1413,2312,1156,771,1718,2505,996
